"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns","pagesViewed","timesViewed"
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 3 times by 2 anonymous users","sitecore, canto",2,3,2,"Aug 13, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Aug 12, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 6 times by 3 anonymous users","dam europe, marketing performance",2,6,3,"Aug 11, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext solutions",1,1,1,"Jul 31, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 30, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",2,2,2,"Jul 26, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 25, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","3 keywords researched a total of 4 times by 3 anonymous users","hyland, review of assets, best dam",3,4,3,"Jul 24, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 3 times by 3 anonymous users","sitecore, taxonomy",2,3,3,"Jul 23, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Jul 22, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 21, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 20, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 18, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","3 keywords researched a total of 4 times by 3 anonymous users","widen, best dam, marketing performance",3,4,3,"Jul 14, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 13, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 11, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 10, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 6, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 4, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 2 times by 2 anonymous users","henry stewart, marketing performance",2,2,2,"Jul 3, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 1, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 3 times by 2 anonymous users","dam europe, sitecore",2,3,2,"Jun 26, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 23, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jun 22, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Jun 21, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",1,2,1,"Jun 19, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Jun 16, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","3 keywords researched a total of 3 times by 3 anonymous users","widen, campaign monitoring, taxonomy",3,3,3,"Jun 14, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 12, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 10, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 9, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 9 times by 4 anonymous users","dam europe, aem",2,9,4,"Jun 6, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 2, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 29, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 26, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, taxonomy",2,2,2,"May 24, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 23, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 22, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 4 times by 3 anonymous users","pim, marketing performance",2,4,3,"May 20, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"May 19, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 6 times by 2 anonymous users","pim, content hub",2,6,2,"May 18, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 8 times by 2 anonymous users","pim, content hub",2,8,2,"May 17, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 8 times by 2 anonymous users","pim",1,8,2,"May 16, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 3 times by 2 anonymous users","widen, pim",2,3,2,"May 15, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 13, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 11, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"May 3, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 2 times by 2 anonymous users","Informatica, hyland",2,2,2,"May 2, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 4 times by 2 anonymous users","marketing performance",1,4,2,"Apr 30, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 2 times by 2 anonymous users","Salsify, marketing performance",2,2,2,"Apr 29, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 28, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 27, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 4 times by 1 anonymous user","marketing performance",1,4,1,"Apr 26, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 5 times by 1 anonymous user","canto",1,5,1,"Apr 25, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 24, 2023",,,,
