"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed"
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","1 keyword researched a total of 5 times by 1 anonymous user","widen",1,5,1,"Aug 2, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","5 keywords researched a total of 9 times by 8 anonymous users","sitecore, hyland, marketing performance, workflow automation, content hub",5,9,8,"Aug 1, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","5 keywords researched a total of 12 times by 8 anonymous users","sitecore, pim, marketing performance, brand integrity, taxonomy",5,12,8,"Jul 31, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","4 keywords researched a total of 12 times by 10 anonymous users","pim, hyland, taxonomy, marketing performance",4,12,10,"Jul 30, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","5 keywords researched a total of 13 times by 9 anonymous users","hyland, widen, sitecore, marketing performance, content delivery network",5,13,9,"Jul 29, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","4 keywords researched a total of 6 times by 6 anonymous users","hyland, sitecore, aem, taxonomy",4,6,6,"Jul 28, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","5 keywords researched a total of 19 times by 10 anonymous users","hyland, canto, dam renewal, taxonomy, content hub",5,19,10,"Jul 27, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","6 keywords researched a total of 16 times by 13 anonymous users","hyland, sitecore, taxonomy, workflow automation, content hub, content delivery network",6,16,13,"Jul 26, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","7 keywords researched a total of 18 times by 11 anonymous users","canto, aem, hyland, widen, content hub, taxonomy, content intelligence",7,18,11,"Jul 25, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","10 keywords researched a total of 35 times by 25 anonymous users","canto, canto reviews, hyland, dam new york, widen, sitecore, henry stewart, content delivery network, taxonomy, content intelligence",10,35,25,"Jul 24, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/tenovos-vs-bynder/",,,1,"Jul 23, 2023",1,1
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","8 keywords researched a total of 36 times by 27 anonymous users","dam new york, hyland, aem, sitecore, taxonomy, marketing performance, content delivery network, workflow automation",8,36,27,"Jul 23, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","8 keywords researched a total of 13 times by 10 anonymous users","aem, sitecore, workflow automation, taxonomy, content hub, marketing performance, content delivery network, best dam",8,13,10,"Jul 22, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","9 keywords researched a total of 29 times by 21 anonymous users","hyland, aem, sitecore, widen, taxonomy, brand integrity, marketing performance, content delivery network, content hub",9,29,21,"Jul 21, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",,,1,"Jul 20, 2023",1,1
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","10 keywords researched a total of 35 times by 24 anonymous users","sitecore, aem, hyland, Informatica, Salsify, marketing performance, taxonomy, brand integrity, content hub, digital asset management",10,35,24,"Jul 20, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","13 keywords researched a total of 63 times by 40 anonymous users","hyland, henry stewart, widen, sitecore, canto, brandfolder dam, brandfolder, Informatica, content hub, taxonomy",13,63,40,"Jul 19, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","7 keywords researched a total of 54 times by 32 anonymous users","hyland, sitecore, widen, Informatica, taxonomy, content hub, workflow automation",7,54,32,"Jul 18, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","8 keywords researched a total of 40 times by 22 anonymous users","sitecore, hyland, widen, canto, smartsheet, taxonomy, content hub, workflow automation",8,40,22,"Jul 17, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","8 keywords researched a total of 30 times by 18 anonymous users","sitecore, Informatica, canto, widen, hyland, marketing performance, best dam, taxonomy",8,30,18,"Jul 16, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","4 keywords researched a total of 19 times by 13 anonymous users","hyland, widen, sitecore, canto",4,19,13,"Jul 15, 2023",,
"/discover/account/detail/900626ea8b23c94/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","L&N Federal Credit Union","United States - lnfcu.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 8, 2023",,