"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesClicked","numberOfPeople","date","keywordsResearched","timesResearched","timesViewed"
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/3-benefits-of-tracking-assets/",1,1,1,"Aug 3, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Aug 2, 2023",1,1,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/3-benefits-of-tracking-assets/",1,,1,"Aug 1, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/about/",1,,1,"Jul 26, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/about/",1,3,1,"Jul 26, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","2 keywords researched a total of 6 times by 2 anonymous users","aem, Informatica",,,2,"Jul 26, 2023",2,6,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",1,,1,"Jul 18, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",,,1,"Jul 6, 2023",1,1,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/digital-asset-management-retail/",1,,1,"Jun 12, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/digital-asset-management-retail/",1,1,1,"Jun 12, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",,,1,"Jun 9, 2023",1,2,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/lesser-known-dam-features/",1,,1,"Jun 8, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/lesser-known-dam-features/",1,1,1,"Jun 8, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/",1,,1,"May 31, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/",1,2,1,"May 31, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","6 pages viewed a total of 14 times by 1 Anonymous user","https://tenovos.com/resources/#tools, https://tenovos.com/resources/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/platform/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/",6,,1,"May 17, 2023",,,14
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","6 pages clicked a total of 15 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/platform/, https://tenovos.com/resources/, https://tenovos.com/resources/#tools, https://tenovos.com/platform/cloud-infrastructure/",6,15,1,"May 17, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 keyword researched a total of 1 time by 1 anonymous user","asset usage data",,,1,"May 17, 2023",1,1,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","3 pages viewed a total of 4 times by 3 Anonymous users","https://tenovos.com/customers/, https://tenovos.com/resources/webinars/glossier-dam-webinar/, https://tenovos.com/creative-operations-new-york-2023/",3,,3,"May 15, 2023",,,4
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","2 pages clicked a total of 3 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/resources/webinars/glossier-dam-webinar/",2,3,2,"May 15, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/creative-operations-new-york-2023/",1,,1,"May 13, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/creative-operations-new-york-2023/",1,,1,"May 12, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 3 times by 2 Anonymous users","https://tenovos.com/creative-operations-new-york-2023/",1,,2,"May 10, 2023",,,3
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/creative-operations-new-york-2023/",1,1,1,"May 10, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/demo/",2,,1,"May 1, 2023",,,2
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"May 1, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/webinars/the-impact-of-ai-on-digital-asset-management-key-skills-for-dam-managers-to-stay-competitive/",1,,1,"Apr 26, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/the-impact-of-ai-on-digital-asset-management-key-skills-for-dam-managers-to-stay-competitive/",1,,2,"Apr 25, 2023",,,2
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/the-impact-of-ai-on-digital-asset-management-key-skills-for-dam-managers-to-stay-competitive/",1,1,1,"Apr 25, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","12 pages viewed a total of 17 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/tenovos-rfp-template-download/, https://tenovos.com/platform/story-activation/, https://tenovos.com/resources/, https://tenovos.com/resources/#guides, https://tenovos.com/why/enterprise-digital-asset-management/, https://tenovos.com/resources/blog/dam-system-users/, https://tenovos.com/why/digital-asset-management-roi/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/why/",12,,1,"Apr 18, 2023",,,17
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","10 pages clicked a total of 22 times by 1 Anonymous user","https://tenovos.com/resources/#guides, https://tenovos.com/why/digital-asset-management-system/, https://tenovos.com/about/, https://tenovos.com/user-adoption-toolkit/, https://tenovos.com/platform/story-activation/, https://tenovos.com/resources/#tools, https://tenovos.com/why/, https://tenovos.com/why/digital-asset-management-roi/, https://tenovos.com/platform/story-management/, https://tenovos.com/platform/cloud-infrastructure/",10,22,1,"Apr 18, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/press/tenovos-appoints-scott-bowen-ceo/",1,,1,"Apr 13, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Apr 2, 2023",1,1,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/",1,,1,"Mar 22, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/",1,,1,"Mar 16, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","2 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/, https://tenovos.com/rsvp-la-23-02-23-henry-stewart/",2,,1,"Mar 14, 2023",,,3
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",,,1,"Mar 10, 2023",1,1,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/rsvp-la-23-02-23-henry-stewart/",1,1,1,"Mar 8, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/rsvp-la-23-02-23-henry-stewart/",1,,1,"Mar 7, 2023",,,2
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 4 times by 1 Anonymous user","https://tenovos.com/rsvp-la-23-02-23-henry-stewart/",1,4,1,"Mar 7, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/rsvp-la-23-02-23-henry-stewart/",1,,1,"Mar 6, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Mar 3, 2023",,,1
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 page clicked a total of 6 times by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/",1,6,1,"Feb 28, 2023",,,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",,,1,"Feb 21, 2023",1,2,
"/discover/account/detail/a4e1569b8c4975d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","OnPrem Solution Partners","United States - onprem.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",,,1,"Feb 7, 2023",1,2,