"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked"
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Aug 2, 2023",,,
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","2 keywords researched a total of 2 times by 1 anonymous user","canto, canto reviews",,,1,"Jul 31, 2023",2,2,
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Jul 19, 2023",1,1,
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jul 14, 2023",1,1,
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/platform/story-orchestration/",1,2,1,"Jul 13, 2023",,,
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","4 pages viewed a total of 4 times by 1 Anonymous user","https://tenovos.com/why/rights-management-tools/, https://tenovos.com/platform/rights-management/, https://tenovos.com/platform/story-orchestration/, https://tenovos.com/platform/",4,4,1,"Jul 12, 2023",,,
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","3 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/why/rights-management-tools/, https://tenovos.com/platform/, https://tenovos.com/platform/rights-management/",3,,1,"Jul 12, 2023",,,3
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",,,1,"Jul 11, 2023",1,1,
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jun 21, 2023",,,
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jun 21, 2023",,,1
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Jun 19, 2023",1,1,
"/discover/account/detail/4d7ef5a4bd7f07f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Vistaprint","United States - vistaprint.com","2 keywords researched a total of 3 times by 2 anonymous users","content hub, marketing performance",,,2,"Jun 13, 2023",2,3,